#separator:tab
#html:false
#notetype column:1
#deck column:2
#tags column:7

Type	Deck	Text_zh-Cn	BackExtra_zh-Cn	Tags
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开开发者工具的快捷键是 {{c1::F12}}。	开发者工具	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开清除浏览数据选项的快捷键是 {{c1::Ctrl Shift Delete}}。	清除浏览数据	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在新标签页中打开帮助中心的快捷键是 {{c1::F1}}。	帮助中心	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 登录其他用户或以访客身份浏览的快捷键是 {{c1::Ctrl Shift M}}。	切换用户/访客	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开反馈表单的快捷键是 {{c1::Alt Shift I}}。	打开反馈	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::02_Features"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 地址栏输入后使用默认搜索引擎搜索的快捷键是 {{c1::Enter}}。	默认搜索	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 地址栏输入后使用其他搜索引擎搜索的快捷键是 {{c1::Tab}}。	其他引擎搜索	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 为站点名称添加 www. 和 .com 并在当前标签页打开的快捷键是 {{c1::Ctrl Enter}}。	补全域名	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 在新标签页中打开搜索请求并执行 Google 搜索的快捷键是 {{c1::Alt Enter}}。	新标签页搜索	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到地址栏的快捷键是 {{c1::Ctrl L}}。	跳转地址栏	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 从页面任意位置进行搜索的快捷键是 {{c1::Ctrl K}}。	任意位置搜索	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 从地址栏中移除预测结果的快捷键是 {{c1::Shift Delete}}。	移除预测	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::03_AddressBar"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开打印当前页面选项的快捷键是 {{c1::Ctrl P}}。	打印页面	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 打开保存当前页面选项的快捷键是 {{c1::Ctrl S}}。	保存页面	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 重新加载当前页面的快捷键是 {{c1::Ctrl R}}。	刷新页面	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 重新加载当前页面并忽略缓存内容的快捷键是 {{c1::Ctrl Shift R}}。	强制刷新	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 停止页面加载的快捷键是 {{c1::Esc}}。	停止加载	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 向前浏览可点击项目的快捷键是 {{c1::Tab}}。	向前浏览	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 向后浏览可点击项目的快捷键是 {{c1::Shift Tab}}。	向后浏览	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 从计算机打开文件的快捷键是 {{c1::Ctrl O}}。	打开文件	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 显示当前页面不可编辑的 HTML 源代码的快捷键是 {{c1::Ctrl U}}。	显示源码	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 将当前网页保存为书签的快捷键是 {{c1::Ctrl D}}。	保存书签	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 将所有打开的标签页作为书签保存在新文件夹中的快捷键是 {{c1::Ctrl Shift D}}。	保存所有书签	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 开启或关闭全屏模式的快捷键是 {{c1::F11}}。	切换全屏	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 放大页面内容的快捷键是 {{c1::Ctrl +}}。	放大	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 缩小页面内容的快捷键是 {{c1::Ctrl -}}。	缩小	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 将页面内容恢复到默认大小的快捷键是 {{c1::Ctrl 0}}。	恢复默认大小	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 每次向下滚动一个屏幕的快捷键是 {{c1::Space}}。	向下翻页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 每次向上滚动一个屏幕的快捷键是 {{c1::Shift Space}}。	向上翻页	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到页面顶部的快捷键是 {{c1::Home}}。	跳转顶部	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
Cloze	Inbox::CSSC::02dev::GoogleChrome	Chrome 跳转到页面底部的快捷键是 {{c1::End}}。	跳转底部	"#CSSC::#Topic::GoogleChrome::99-cheatsheet::04_Webpage"
